audience_status,rating_G,rating_NC17,rating_NR,rating_PG,rating_PG-13,rating_R,runtime_in_minutes,tomatometer_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
1,0,0,1,0,0,0,4.543294782270004,14,74.0,178.0,8,10,4
1,0,0,0,0,0,1,4.718498871295094,107,75.0,198817.0,32,43,64
1,0,0,1,0,0,0,4.59511985013459,48,72.0,571.0,22,38,10
0,0,0,1,0,0,0,4.430816798843313,18,46.0,2425.0,7,4,14
1,0,0,1,0,0,0,4.8283137373023015,35,66.0,972.0,11,34,1
1,0,0,0,0,0,1,4.795790545596741,264,85.0,67362.0,47,243,21
1,1,0,0,0,0,0,4.605170185988092,9,60.0,11068.0,3,5,4
0,0,0,0,0,0,1,4.442651256490317,150,36.0,96461.0,36,59,91
1,0,0,1,0,0,0,4.406719247264253,27,85.0,661.0,12,25,2
1,1,0,0,0,0,0,4.867534450455582,23,83.0,8776.0,2,17,6
0,0,0,0,1,0,0,4.543294782270004,17,14.0,2480.0,7,0,17
1,0,0,0,1,0,0,4.5217885770490405,8,62.0,3195.0,2,4,4
0,0,0,0,0,0,1,4.812184355372417,155,28.0,5517.0,42,54,101
1,0,0,1,0,0,0,4.406719247264253,22,77.0,1355.0,8,15,7
1,0,0,1,0,0,0,4.454347296253507,29,67.0,773.0,12,17,12
0,0,0,0,0,1,0,4.59511985013459,140,39.0,13381.0,47,105,35
1,0,0,1,0,0,0,4.820281565605037,11,69.0,295.0,3,8,3
0,0,0,1,0,0,0,4.465908118654584,10,30.0,132.0,6,6,4
0,0,0,0,0,1,0,4.736198448394496,64,54.0,5415.0,24,11,53
0,0,0,1,0,0,0,4.584967478670572,23,53.0,148.0,8,9,14
1,0,0,0,0,0,1,4.543294782270004,37,90.0,8526.0,11,26,11
1,0,0,0,0,1,0,4.882801922586371,242,76.0,473150.0,52,226,16
1,0,0,0,0,0,1,4.795790545596741,36,77.0,53240.0,7,34,2
1,0,0,1,0,0,0,4.736198448394496,47,93.0,10342.0,10,46,1
1,0,0,0,0,0,1,4.5217885770490405,43,67.0,2780.0,16,40,3
0,0,0,0,0,0,1,4.48863636973214,8,22.0,177.0,2,2,6
1,0,0,1,0,0,0,4.5217885770490405,19,81.0,2467.0,10,12,7
1,0,0,1,0,0,0,4.867534450455582,20,91.0,6067.0,4,17,3
1,0,0,1,0,0,0,4.276666119016055,16,80.0,981.0,6,14,2
1,0,0,0,1,0,0,4.532599493153256,50,81.0,252003.0,16,20,30
1,0,0,0,0,0,1,4.574710978503383,217,63.0,131455.0,50,157,60
1,0,0,0,0,0,1,4.700480365792417,16,64.0,1017.0,0,13,3
0,0,0,1,0,0,0,4.3694478524670215,20,45.0,741.0,3,13,7
0,0,0,0,0,0,1,4.663439094112067,15,30.0,3436.0,2,2,13
0,0,0,0,0,0,1,4.499809670330265,31,44.0,50688.0,3,15,16
0,0,0,0,0,0,1,4.499809670330265,35,31.0,2427.0,11,14,21
1,0,0,0,0,0,1,4.804021044733257,52,86.0,447223.0,12,32,20
0,0,0,0,0,0,1,4.8283137373023015,11,50.0,15546.0,2,2,9
1,0,0,0,0,0,1,4.465908118654584,10,64.0,1618.0,3,6,4
0,0,0,0,0,0,1,4.382026634673881,32,56.0,486.0,12,26,6
1,0,0,0,0,0,1,4.477336814478207,147,80.0,324178.0,35,109,38
1,0,0,0,0,0,1,4.382026634673881,32,62.0,36872.0,12,5,27
1,0,0,0,0,1,0,4.59511985013459,42,82.0,136307.0,2,33,9
1,0,0,1,0,0,0,4.762173934797756,5,67.0,1770.0,0,3,2
1,0,0,1,0,0,0,4.442651256490317,17,64.0,58.0,4,14,3
1,0,0,0,0,1,0,4.499809670330265,7,69.0,804.0,2,4,3
0,0,0,0,0,0,1,4.5217885770490405,30,17.0,276.0,9,1,29
0,0,0,0,0,1,0,4.442651256490317,48,26.0,11376.0,14,2,46
0,0,0,0,0,1,0,4.624972813284271,157,58.0,8212.0,37,100,57
1,0,0,0,1,0,0,4.812184355372417,26,80.0,4674.0,6,24,2
1,0,0,1,0,0,0,4.68213122712422,6,60.0,818.0,1,6,0
1,0,0,0,0,1,0,4.553876891600541,76,92.0,31149.0,21,73,3
1,0,0,0,0,0,1,4.787491742782046,32,72.0,28428.0,7,26,6
0,0,0,0,0,0,1,4.553876891600541,173,31.0,10632.0,45,64,109
1,0,0,0,0,0,1,4.574710978503383,66,76.0,5723.0,23,52,14
1,0,0,0,0,0,1,4.543294782270004,62,70.0,5280.0,24,50,12
1,0,0,0,0,1,0,4.653960350157523,14,73.0,927.0,9,5,9
0,0,0,0,0,1,0,4.770684624465665,233,42.0,31644.0,42,87,146
1,0,0,1,0,0,0,4.605170185988092,25,62.0,81.0,14,18,7
1,0,0,0,0,0,1,4.787491742782046,410,85.0,127428.0,56,396,14
1,0,0,0,0,0,1,4.454347296253507,17,72.0,4420.0,1,16,1
1,0,0,0,0,0,1,4.605170185988092,36,72.0,6114.0,8,10,26
0,0,0,0,1,0,0,4.7535901911063645,12,35.0,19482.0,1,4,8
0,0,0,0,0,0,1,4.59511985013459,39,29.0,956.0,13,11,28
1,0,0,0,1,0,0,4.663439094112067,45,92.0,38044.0,10,40,5
0,0,0,0,0,0,1,4.718498871295094,86,58.0,9540.0,27,57,29
1,0,0,0,1,0,0,4.605170185988092,322,84.0,181602.0,59,303,19
0,0,0,0,1,0,0,4.532599493153256,8,19.0,9755.0,3,0,8
1,0,0,0,0,0,1,4.532599493153256,32,64.0,23204.0,9,12,20
1,0,0,1,0,0,0,4.727387818712341,14,71.0,1957.0,3,11,3
0,0,0,1,0,0,0,4.0943445622221,14,4.0,71.0,6,11,3
0,1,0,0,0,0,0,4.5217885770490405,66,39.0,150754.0,22,11,55
0,0,0,0,0,0,1,4.418840607796598,14,42.0,4321.0,0,10,4
1,0,0,1,0,0,0,4.0943445622221,9,75.0,12.0,3,9,0
